project,year,tech,sol_cap,location,province,lat,lon,glass_weight
Northland Power Solar McCann L.P.,2013,Solar,10.0,"Westport, Ontario, Canada",ON,44.6776761,-76.3996659,3514.0
Northland Power Solar Rideau Lakes,2013,Solar,10.0,"Portland, Ontario, Canada",ON,44.695047,-76.19294699999999,3514.0
RE Midhurst 2,2013,Solar,3.5,"Phelpston, Ontario, Canada",ON,44.51802,-79.847235,1229.9
RE Midhurst 3,2013,Solar,3.5,"Oro Station, Ontario, Canada",ON,44.459435,-79.517794,1229.9
RE Midhurst 4,2013,Solar,6.5,"Springwater Township, Ontario, Canada",ON,44.4471323,-79.730217,2284.1
RE Midhurst 6,2013,Solar,8.5,"Springwater Township, Ontario, Canada",ON,44.4471323,-79.730217,2986.9
RE Smiths Falls 2,2013,Solar,10.0,"Perth, Ontario, Canada",ON,44.8988097,-76.2485592,3514.0
RE Smiths Falls 5,2013,Solar,10.0,"Smiths Falls, Ontario, Canada",ON,44.903748,-76.02161889999999,3514.0
RE Smiths Falls 6,2013,Solar,10.0,"Smiths Falls, Ontario, Canada",ON,44.903748,-76.02161889999999,3514.0
RE Waubaushene 3,2013,Solar,10.0,"Wyebridge, Ontario, Canada",ON,44.695276,-79.884289,3514.0
RE Waubaushene 4,2013,Solar,8.0,"Coldwater, Ontario, Canada",ON,44.7099419,-79.643778,2811.2
RE Waubaushene 5,2013,Solar,3.5,"Coldwater, Ontario, Canada",ON,44.7099419,-79.643778,1229.9
Ruby Farms,2013,Solar,1.99821,"Strathroy, Ontario, Canada",ON,42.95542,-81.62323330000001,702.170994
Sandringham,2013,Solar,10.0,"City of Kawartha Lakes, Ontario, Canada",ON,44.5337469,-78.9006484,3514.0
Simcoe Solar Energy Centre I,2013,Solar,10.0,"Woodville, Ontario, Canada",ON,44.3971855,-78.9952754,3514.0
Simcoe Solar Energy Centre III,2013,Solar,10.0,"Woodville, Ontario, Canada",ON,44.3971855,-78.9952754,3514.0
William Rutley,2013,Solar,10.0,"Ingleside, Ontario, Canada",ON,44.9988842,-74.9897993,3514.0
Woodville,2013,Solar,10.0,"City of Kawartha Lakes, Ontario, Canada",ON,44.5337469,-78.9006484,3514.0
Fort Simpson Solar Energy Project,2012,Solar,0.1,"Fort Simpson, Northwest Territories, Canada",NT,61.8627978,-121.353033,34.76
2176047,2012,Solar,10.0,"Brockville, Ontario, Canada",ON,44.5895244,-75.68428580000001,3476.0
First Light 3,2012,Solar,10.0,"Stone Mills, Ontario, Canada",ON,44.4879049,-76.9916547,3476.0
Fort William First Nations Solar Farm,2012,Solar,10.0,"Thunder Bay, Ontario, Canada",ON,48.3808951,-89.2476823,3476.0
GS One-Parkway Solar Farm,2012,Solar,10.0,"Osgoode, Ontario, Canada",ON,45.1482547,-75.601778,3476.0
Moore Solar Energy Center (St. Clair Solar 1 & 2),2012,Solar,20.0,"St. Clair Township, Ontario, Canada",ON,42.839859,-82.46388859999999,6952.0
Sombra (St. Clair Solar 3 & 4),2012,Solar,20.0,"St. Clair Township, Ontario, Canada",ON,42.839859,-82.46388859999999,6952.0
Stardale,2012,Solar,27.0,"East Hawkesbury Township, Ontario, Canada",ON,45.5047736,-74.4913333,9385.2
Stone Mills Solar Park,2012,Solar,11.2,"Napanee, Ontario, Canada",ON,44.2148382,-76.964306,3893.12
SunE Rutley,2012,Solar,10.0,"Ingleside, Ontario, Canada",ON,44.9988842,-74.9897993,3476.0
Erie Ridge,2011,Solar,9.3,"Ridgetown, Ontario, Canada",ON,42.4392003,-81.887149,3197.3399999999997
First Light 2,2011,Solar,7.8,"Stone Mills, Ontario, Canada",ON,44.4879049,-76.9916547,2681.6399999999994
Ryerse,2011,Solar,4.0,"Port Dover, Ontario, Canada",ON,42.7865225,-80.20327790000002,1375.1999999999998
Silvercreek,2011,Solar,10.0,"Aylmer, Ontario, Canada",ON,42.7729381,-80.9828842,3437.9999999999995
SkyPower Fort William,2011,Solar,10.0,"Thunder Bay, Ontario, Canada",ON,48.3808951,-89.2476823,3437.9999999999995
Smith Falls B,2011,Solar,10.0,"Smiths Falls, Ontario, Canada",ON,44.903748,-76.02161889999999,3437.9999999999995
Thunder Bay Airport,2011,Solar,8.5,"Thunder Bay, Ontario, Canada",ON,48.3808951,-89.2476823,2922.2999999999997
Vanzwolf,2011,Solar,5.0,"Rainy River, Ontario, Canada",ON,48.7216623,-94.5695247,1718.9999999999998
Whitewater Solar / Scotch Bush Solar Farm,2011,Solar,2.95,"Township of Whitewater Region, Ontario, Canada",ON,45.733103,-76.85649889999999,1014.2099999999999
"Amherstburg 1,2,3,4",2011,Solar-Storage,20.0,"Amherstburg, Ontario, Canada",ON,42.1013779,-83.1086977,6875.999999999999
13th Sideroad,2010,Solar,9.0,"Langton, Ontario, Canada",ON,42.741924,-80.57767100000001,3060.0
Arnprior Solar,2010,Solar,23.4,"Arnprior, Ontario, Canada",ON,45.4347445,-76.3518469,7956.0
Elmsley Solar,2010,Solar,24.0,"Lombardy, Ontario, Canada",ON,44.8246937,-76.089865,8160.0
Enbridge Tilbury,2010,Solar,5.0,"Tilbury, Ontario, Canada",ON,42.2643968,-82.42923119999999,1700.0
Parkers Corners' Solar Farm,2010,Solar,10.0,"St. Isidore, Ontario, Canada",ON,45.388496,-74.907358,3400.0
Sarnia Solar 1,2010,Solar,10.0,"Sarnia, Ontario, Canada",ON,42.974536,-82.4065901,3400.0
Sarnia Solar 3,2010,Solar,10.0,"Sarnia, Ontario, Canada",ON,42.974536,-82.4065901,3400.0
Sarnia Solar 4,2010,Solar,10.0,"Sarnia, Ontario, Canada",ON,42.974536,-82.4065901,3400.0
Sarnia Solar 6,2010,Solar,10.0,"Sarnia, Ontario, Canada",ON,42.974536,-82.4065901,3400.0
Sarnia Solar 7 (formerly Bluewater Solar 1),2010,Solar,10.0,"Sarnia, Ontario, Canada",ON,42.974536,-82.4065901,3400.0
Sarnia Solar 8 (formerly Bluewater Solar 2),2010,Solar,10.0,"Sarnia, Ontario, Canada",ON,42.974536,-82.4065901,3400.0
Sault Ste Marie (SSM) 2,2010,Solar,30.0,"Sault Ste. Marie, Ontario, Canada",ON,46.5136494,-84.33575259999999,10200.0
Sault Ste Marie (SSM) 3,2010,Solar,10.0,"Sault Ste. Marie, Ontario, Canada",ON,46.5136494,-84.33575259999999,3400.0
Smith Falls A,2010,Solar,6.0,"Smiths Falls, Ontario, Canada",ON,44.903748,-76.02161889999999,2040.0
St. Isidore A,2010,Solar,12.0,"St. Isidore, Ontario, Canada",ON,45.388496,-74.907358,4080.0
St. Isidore B,2010,Solar,12.0,"St. Isidore, Ontario, Canada",ON,45.388496,-74.907358,4080.0
Wainwright,2010,Solar,10.0,"Oxdrift, Ontario, Canada",ON,49.8151211,-92.9814406,3400.0
First Light 1,2009,Solar,7.5,"Stone Mills, Ontario, Canada",ON,44.4879049,-76.9916547,2550.0
Sarnia Solar 5,2009,Solar,10.0,"Sarnia, Ontario, Canada",ON,42.974536,-82.4065901,3400.0
Sault Ste Marie (SSM) 1,2009,Solar,20.0,"Sault Ste. Marie, Ontario, Canada",ON,46.5136494,-84.33575259999999,6800.0
SunSaver1,2009,Solar,10.0,"Innerkip, Ontario, Canada",ON,43.2101343,-80.6965664,3400.0
Val Caron,2009,Solar,9.997,"Hanmer, Ontario, Canada",ON,46.652064,-80.9463083,3398.98
Hydro One Brampton Commercial Solar,2008,Solar,20.48,"Brampton, Ontario, Canada",ON,43.7315479,-79.7624177,6963.2
Sarnia Solar 2,2008,Solar,10.0,"Sarnia, Ontario, Canada",ON,42.974536,-82.4065901,3400.0
Region of Waterloo EMS Building 20kW PV,2007,Solar,0.02,"Cambridge, Ontario, Canada",ON,43.3616211,-80.3144276,6.8
Chappice Lake (CHP1),2023,Solar,14.0,"Cypress County, Alberta, Canada",AB,50.0228165,-110.4765127,5277.999999999999
Deerfoot Solar Park (DFT1),2023,Solar,37.0,"Calgary, Alberta, Canada",AB,51.04473309999999,-114.0718831,13948.999999999998
Empress Solar Park (EMP1),2023,Solar,39.0,"Empress, Alberta, Canada",AB,50.9567309,-110.0080274,14702.999999999998
Joffre Solar 1 (JFS1),2023,Solar,25.0,"Joffre, Alberta, Canada",AB,52.33450300000001,-113.535927,9424.999999999998
Joffre Solar 2 (JFS2),2023,Solar,22.0,"Joffre, Alberta, Canada",AB,52.33450300000001,-113.535927,8293.999999999998
Michichi Creek (MCH1),2023,Solar,13.0,"Drumheller, Alberta, Canada",AB,51.4619438,-112.7106587,4900.999999999999
Stavely (STV1),2023,Solar,17.0,"Stavely, Alberta, Canada",AB,50.1615778,-113.6409669,6408.999999999999
Youngstown Solar (YNG1),2023,Solar,6.0,"Youngstown, Alberta, Canada",AB,51.5285044,-111.2051465,2261.9999999999995
Fox Coulee Solar,2023,Solar,75.0,"Fox Coulee, Alberta, Canada",AB,49.0022092,-112.9989787,28274.999999999996
Saddlebrook Solar (SDL1),2023,Solar,81.0,"Saddlebrook, Alberta, Canada",AB,53.9332706,-116.5765035,30536.999999999996
Barlow Solar (BLS1),2022,Solar,27.0,"Barlow, Alberta, Canada",AB,53.9332706,-116.5765035,10178.999999999998
